type_of_contribution,user_login,number,business_days_to_merge,number_of_commenters,number_of_comments,number_of_pushes,gradle_check_failures
MEMBER,Arpit-Bandejiya,4,0.125,1.25,1.75,0.25,0.75
MEMBER,sachinpkale,4,2.5,2.75,5.0,0.25,1.25
MEMBER,BhumikaSaini-Amazon,4,10.666666666666666,2.25,10.75,4.0,6.0
MEMBER,mch2,3,1.5416666666666667,4.0,6.666666666666667,0.0,1.6666666666666667
MEMBER,mgodwan,3,0.5833333333333334,2.3333333333333335,2.6666666666666665,0.0,0.0
MEMBER,msfroh,3,15.0,1.6666666666666667,4.333333333333333,0.0,0.6666666666666666
MEMBER,shiv0408,3,18.666666666666668,4.0,17.333333333333332,3.6666666666666665,12.333333333333334
MEMBER,rajiv-kv,3,9.625,3.6666666666666665,5.666666666666667,1.0,1.3333333333333333
MEMBER,jed326,3,1.0,2.6666666666666665,5.0,1.3333333333333333,0.6666666666666666
MEMBER,vikasvb90,3,1.0,3.0,7.666666666666667,2.3333333333333335,3.3333333333333335
MEMBER,ruai0511,3,0.75,1.6666666666666667,5.0,0.0,2.3333333333333335
MEMBER,scrawfor99,3,4.5,3.6666666666666665,9.0,0.0,3.0
MEMBER,jainankitk,3,3.0,4.0,9.333333333333334,0.3333333333333333,3.3333333333333335
CONTRIBUTOR,atharvasharma61,3,7.125,3.0,9.333333333333334,0.6666666666666666,3.6666666666666665
MEMBER,astute-decipher,3,11.333333333333334,3.0,11.0,1.3333333333333333,4.666666666666667
MEMBER,sandeshkr419,2,5.625,6.0,12.0,0.5,0.5
MEMBER,backslasht,2,0.5,2.0,6.0,0.0,2.0
MEMBER,neetikasinghal,2,5.5,3.5,7.5,1.5,2.5
MEMBER,navneet1v,2,1.0,4.0,10.5,1.0,1.5
CONTRIBUTOR,srikanthpadakanti,2,10.5,3.5,19.5,1.0,8.5
CONTRIBUTOR,rahulkarajgikar,2,1.5,3.5,8.5,0.5,3.5
MEMBER,chishui,2,6.0,4.5,19.5,0.5,6.5
MEMBER,zelinh,2,2.0,3.5,9.5,2.0,4.5
MEMBER,dblock,2,0.125,3.0,5.0,0.5,1.5
MEMBER,rishabh6788,2,3.25,4.0,17.5,1.0,5.0
MEMBER,dbwiddis,2,0.8125,1.5,3.5,0.5,2.0
MEMBER,deshsidd,2,1.0,2.0,3.0,0.5,1.5
CONTRIBUTOR,naomichi-y,2,6.0,3.0,14.0,0.5,5.5
CONTRIBUTOR,kkewwei,2,2.3125,3.5,10.0,3.5,3.0
CONTRIBUTOR,Zhikai-VM,1,3.0,5.0,19.0,3.0,0.0
CONTRIBUTOR,akolarkunnu,1,1.0,6.0,16.0,1.0,1.0
CONTRIBUTOR,aggarwalShivani,1,0.25,3.0,5.0,0.0,1.0
MEMBER,gashutos,1,,5.0,11.0,0.0,0.0
CONTRIBUTOR,Pranshu-S,1,2.0,4.0,4.0,0.0,0.0
MEMBER,saimedhi,1,0.75,4.0,4.0,0.0,0.0
MEMBER,varun-lodaya,1,0.875,2.0,2.0,0.0,0.0
CONTRIBUTOR,Ferrari248,1,17.0,4.0,28.0,10.0,9.0
NONE,jzonthemtn,1,,5.0,13.0,3.0,4.0
NONE,llilyy,1,,6.0,22.0,2.0,4.0
NONE,mwilso3,1,5.0,3.0,17.0,9.0,0.0
MEMBER,sohami,1,1.0,5.0,7.0,0.0,0.0
MEMBER,peterzhuamazon,1,1.0,6.0,12.0,0.0,1.0
CONTRIBUTOR,finnegancarroll,1,7.0,5.0,25.0,3.0,12.0
CONTRIBUTOR,niyatiagg,1,7.0,5.0,11.0,0.0,2.0
MEMBER,harishbhakuni,1,,1.0,1.0,0.0,1.0
CONTRIBUTOR,samuel-oci,1,3.0,4.0,9.0,1.0,2.0
MEMBER,owaiskazi19,1,11.0,4.0,31.0,11.0,18.0
MEMBER,nishchay21,1,,5.0,20.0,0.0,8.0
MEMBER,Gaganjuneja,1,4.0,3.0,11.0,2.0,6.0
MEMBER,anshu1106,1,,1.0,5.0,0.0,5.0
MEMBER,martin-gaievski,1,1.0,4.0,18.0,7.0,6.0
MEMBER,kkhatua,1,1.0,5.0,7.0,0.0,0.0
MEMBER,kaushalmahi12,1,,4.0,11.0,0.0,2.0
MEMBER,imRishN,1,1.0,4.0,7.0,0.0,2.0
MEMBER,harshavamsi,1,0.125,3.0,3.0,0.0,0.0
NONE,ritty27,1,,1.0,1.0,0.0,1.0
